id;carga_pH_7;carga_pH_7_optimizated
B0098;2.7749;2.8372
B0101;2.3528;5.7084
B0120;3.8226;3.8335
B0122;2.3527;3.7344
B0371;3.7354;2.7473
B0422;3.7739;3.7848
B0474;3.8107;4.8226
B0523;2.8117;2.7732
B0616;3.5909;2.8245
B0644;3.4488;3.7354
B0646;3.4498;4.8574
B0647;3.4389;6.3606
B0729;4.8890;6.8236
B0823;2.7846;5.7334
